"","cluster","bcluster","pitch_name","woba.x","n.x","woba.y","n.y","error","rank1","rank2","rank_error"
"1",1,3,"",0.38252427184466,103,0.332307692307692,130,0.0502165795369679,1,1,0
"2",1,5,"2-Seam Fastball",0.211702127659574,94,0.211,50,0.000702127659574475,1,1,0
"3",1,1,"2-Seam Fastball",0.321807000946074,1057,0.337466307277628,371,-0.0156593063315543,3,2,1
"4",1,3,"2-Seam Fastball",0.375100496571293,4229,0.370707070707071,1386,0.00439342586422276,4,3,1
"5",1,4,"2-Seam Fastball",0.314285714285714,98,0.393827160493827,81,-0.0795414462081129,2,4,2
"6",1,2,"4-Seam Fastball",0.236451612903226,155,0.155405405405405,74,0.0810462074978204,2,1,1
"7",1,5,"4-Seam Fastball",0.173512747875354,353,0.238535031847134,157,-0.0650222839717796,1,2,1
"8",1,4,"4-Seam Fastball",0.277431906614786,257,0.334963768115942,276,-0.057531861501156,3,3,0
"9",1,1,"4-Seam Fastball",0.339635485287659,2277,0.345207373271889,1085,-0.00557188798423019,4,4,0
"10",1,3,"4-Seam Fastball",0.353581725438013,9018,0.379885350318471,3925,-0.0263036248804585,5,5,0
"11",1,5,"Changeup",0.0657142857142857,35,0.08,35,-0.0142857142857143,1,1,0
"12",1,1,"Changeup",0.273910788381743,964,0.262153518123667,469,0.0117572702580754,3,2,1
"13",1,3,"Changeup",0.301149755676919,3479,0.27702542874039,1691,0.0241243269365283,4,3,1
"14",1,4,"Changeup",0.214044943820225,89,0.335555555555556,135,-0.121510611735331,2,4,2
"15",1,5,"Curveball",0.0354651162790698,86,0.0755555555555556,45,-0.0400904392764858,1,1,0
"16",1,3,"Curveball",0.287606447688564,3288,0.294376434583015,1307,-0.00676998689445008,4,2,2
"17",1,1,"Curveball",0.244380587484036,783,0.308157894736842,380,-0.0637773072528064,3,3,0
"18",1,4,"Curveball",0.244318181818182,88,0.310648148148148,108,-0.0663299663299664,2,4,2
"19",1,5,"Cutter",0.204676258992806,139,0.156395348837209,86,0.0482809101555965,2,1,1
"20",1,2,"Cutter",0.216346153846154,52,0.262295081967213,61,-0.0459489281210593,3,2,1
"21",1,3,"Cutter",0.331505060398302,6126,0.323286497601097,2918,0.00821856279720568,5,3,2
"22",1,4,"Cutter",0.142477876106195,113,0.323376623376623,231,-0.180898747270429,1,4,3
"23",1,1,"Cutter",0.305492316448492,1757,0.342476851851852,864,-0.0369845354033601,4,5,1
"24",1,1,"Sinker",0.352987012987013,385,0.376060606060606,165,-0.0230735930735931,2,1,1
"25",1,3,"Sinker",0.38203732503888,1286,0.380594059405941,505,0.00144326563293967,3,2,1
"26",1,4,"Sinker",0.277678571428571,56,0.440322580645161,31,-0.16264400921659,1,3,2
"27",1,5,"Slider",0.0507042253521127,71,0.153125,48,-0.102420774647887,1,1,0
"28",1,3,"Slider",0.288588588588589,2331,0.266091954022989,1131,0.0224966345656001,4,2,2
"29",1,1,"Slider",0.263470681458003,631,0.288834951456311,309,-0.0253642699983075,3,3,0
"30",1,4,"Slider",0.153174603174603,63,0.292771084337349,83,-0.139596481162746,2,4,2
"31",1,1,"Split Finger",0.208474576271186,59,0.2,34,0.00847457627118642,1,1,0
"32",1,3,"Split Finger",0.2875,544,0.319010416666667,192,-0.0315104166666667,2,2,0
"33",2,3,"2-Seam Fastball",0.356624605678233,317,0.282584269662921,89,0.0740403360153121,1,1,0
"34",2,1,"2-Seam Fastball",0.396306818181818,176,0.437837837837838,37,-0.0415310196560197,2,2,0
"35",2,5,"4-Seam Fastball",0.189893617021277,94,0.246511627906977,43,-0.0566180108857001,2,1,1
"36",2,4,"4-Seam Fastball",0.156338028169014,71,0.3125,76,-0.156161971830986,1,2,1
"37",2,1,"4-Seam Fastball",0.332275132275132,756,0.371005154639175,388,-0.038730022364043,3,3,0
"38",2,3,"4-Seam Fastball",0.373136515912898,2388,0.37919921875,1024,-0.0060627028371022,4,4,0
"39",2,1,"Changeup",0.2708,375,0.29125,160,-0.02045,1,1,0
"40",2,3,"Changeup",0.29962962962963,1080,0.349506172839506,405,-0.0498765432098766,2,2,0
"41",2,3,"Curveball",0.295695364238411,1359,0.254471544715447,615,0.0412238195229634,1,1,0
"42",2,1,"Curveball",0.302613636363636,440,0.258108108108108,222,0.0445055282555282,2,2,0
"43",2,1,"Sinker",0.358520900321543,311,0.260679611650485,103,0.097841288671058,2,1,1
"44",2,4,"Sinker",0.161290322580645,31,0.372058823529412,34,-0.210768500948767,1,2,1
"45",2,3,"Sinker",0.376089159067882,987,0.373642172523962,313,0.00244698654392084,3,3,0
"46",2,3,"Split Finger",0.321243523316062,193,0.298039215686275,51,0.0232043076297876,1,1,0
"47",3,3,"",0.4145,100,0.413076923076923,65,0.00142307692307692,1,1,0
"48",3,5,"4-Seam Fastball",0.200993377483444,151,0.266,100,-0.0650066225165563,2,1,1
