"","player_name","cluster"
"234","CC Sabathia",3
"235","John Curtiss",3
"236","Reymin Guduan",3
"237","Austen Williams",3
"238","Jarlin Garcia",3
"239","Ryan Tepera",3
"240","Donnie Hart",3
"241","Taylor Cole",3
"242","Austin Adams",3
"243","Ryan Dull",3
"244","Daniel Zamora",3
"245","Kohl Stewart",3
"246","Aaron Bummer",3
"247","Ty Blach",3
"248","T.J. McFarland",3
"249","Jake Barrett",3
"250","Pat Venditte",3
"251","Tyler Lyons",3
"252","Tyler Bashlor",3
"253","Williams Jerez",3
"254","Dan Altavilla",3
"255","Kyle McGowin",3
"256","Tanner Rainey",3
"257","Jimmy Cordero",3
"258","Elieser Hernandez",3
"259","Lucas Sims",3
"260","Justin Shafer",3
"261","Nick Goody",3
"262","Gerson Bautista",3
"263","Cionel Perez",3
"264","Tanner Anderson",3
"265","Odrisamer Despaigne",3
"266","Brooks Pounders",3
"267","Andrew Kittredge",3
"268","Ray Black",3
"269","David Robertson",4
"270","Ian Kennedy",4
"271","Aaron Nola",4
"272","Craig Stammen",4
"273","Trevor Cahill",4
"274","Mike Minor",4
"275","Zack Greinke",4
"276","Archie Bradley",4
"277","Joe Kelly",4
"278","Cody Allen",4
"279","Mark Melancon",4
"280","Brandon Workman",4
"281","Jack Flaherty",4
"282","Gerrit Cole",4
"283","Matt Shoemaker",4
"284","Ross Stripling",4
"285","Robbie Ray",4
"286","German Marquez",4
"287","Derek Holland",4
"288","Trevor Bauer",4
"289","Mike Leake",4
"290","Zack Godley",4
"291","Brett Anderson",4
"292","James Paxton",4
"293","Nick Pivetta",4
"294","Shane Bieber",4
"295","Wade Davis",4
"296","Matt Moore",4
"297","Jeff Samardzija",4
"298","Jorge Lopez",4
"299","Walker Buehler",4
"300","Nick Kingham",4
"301","Brad Peacock",4
"302","David Price",4
"303","Drew Pomeranz",4
"304","Adam Wainwright",4
"305","Vince Velasquez",4
"306","Jeremy Hellickson",4
"307","Jason Vargas",4
"308","Anthony DeSclafani",4
"309","Homer Bailey",4
"310","Alex Cobb",4
"311","Tyler Duffey",4
"312","Jeremy Jeffress",4
"313","Fernando Salas",4
"314","Craig Kimbrel",4
"315","Wily Peralta",5
"316","Heath Hembree",5
"317","Shane Carle",5
"318","Blake Snell",5
"319","Greg Holland",5
"320","Matt Andriese",5
"321","Javy Guerra",5
"322","Josh James",5
"323","Chaz Roe",5
"324","Drew Steckenrider",5
"325","Jon Edwards",5
"326","Tyler Glasnow",5
"327","Tommy Kahnle",5
"328","John Means",5
"329","Robert Stephenson",5
"330","Kyle Wright",5
"331","Corbin Burnes",5
"332","Sam Gaviglio",5
"333","Mike Clevinger",5
"334","Felix Hernandez",5
"335","Sean Newcomb",5
"336","Matt Strahm",5
"337","Scott Barlow",5
"338","Tyler Mahle",5
"339","Hunter Wood",5
"340","Brad Wieck",5
"341","Chase De Jong",5
"342","Glenn Sparkman",5
"343","Tim Collins",5
"344","Josh Rogers",5
"345","Jaime Schultz",5
"346","Clayton Kershaw",5
"347","Antonio Senzatela",5
"348","Jerad Eickhoff",5
"349","Drew Gagnon",5
"350","Dillon Peters",5
