"","cluster","bcluster","pitch_name","woba.x","n.x","woba.y","n.y","error","rank1","rank2","rank_error"
"23",4,1,"Cutter",0.264664804469274,358,0.328461538461538,195,-0.0637967339922647,1,2,1
"24",1,1,"Cutter",0.305492316448492,1757,0.342476851851852,864,-0.0369845354033601,2,3,1
"25",4,1,"Knuckle Curve",0.278352941176471,850,0.255255681818182,352,0.0230972593582888,1,1,0
"26",2,1,"Sinker",0.358520900321543,311,0.260679611650485,103,0.097841288671058,4,1,3
"27",5,1,"Sinker",0.368617021276596,94,0.3375,32,0.0311170212765957,5,2,3
"28",3,1,"Sinker",0.329977777777778,2250,0.352528977871444,949,-0.0225512000936658,1,3,2
"29",1,1,"Sinker",0.352987012987013,385,0.376060606060606,165,-0.0230735930735931,2,4,2
"30",4,1,"Sinker",0.358259587020649,339,0.411309523809524,168,-0.0530499367888748,3,5,2
"31",3,1,"Slider",0.272823129251701,1470,0.267448856799037,831,0.00537427245266336,5,1,4
"32",4,1,"Slider",0.253140916808149,589,0.279715762273902,387,-0.0265748454657524,2,2,0
"33",6,1,"Slider",0.255624620982414,3298,0.281344262295082,1525,-0.0257196413126684,3,3,0
"34",1,1,"Slider",0.263470681458003,631,0.288834951456311,309,-0.0253642699983075,4,4,0
"35",5,1,"Slider",0.24912739965096,573,0.32751572327044,318,-0.0783883236194804,1,5,4
"36",6,1,"Split Finger",0.17375,80,0.1734375,64,0.000312499999999993,1,1,0
"37",1,1,"Split Finger",0.208474576271186,59,0.2,34,0.00847457627118642,3,2,1
"38",3,1,"Split Finger",0.204273504273504,117,0.27421875,64,-0.0699452457264957,2,3,1
"39",6,2,"2-Seam Fastball",0.119672131147541,61,0.142957746478873,71,-0.0232856153313323,1,1,0
"40",1,2,"4-Seam Fastball",0.236451612903226,155,0.155405405405405,74,0.0810462074978204,5,1,4
"41",4,2,"4-Seam Fastball",0.201020408163265,98,0.187121212121212,66,0.0138991960420532,2,2,0
"42",6,2,"4-Seam Fastball",0.205510204081633,245,0.301034482758621,145,-0.0955242786769881,3,3,0
"43",3,2,"4-Seam Fastball",0.134659090909091,88,0.303225806451613,62,-0.168566715542522,1,4,3
"44",5,2,"4-Seam Fastball",0.233802816901408,71,0.309615384615385,52,-0.0758125677139762,4,5,1
"45",6,2,"Curveball",0.0568181818181818,44,0.134375,32,-0.0775568181818182,1,1,0
"46",1,2,"Cutter",0.216346153846154,52,0.262295081967213,61,-0.0459489281210593,1,1,0
"47",4,2,"Knuckle Curve",0.0195652173913043,46,0.184285714285714,35,-0.16472049689441,1,1,0
"48",3,2,"Sinker",0.256164383561644,73,0.280263157894737,76,-0.024098774333093,1,1,0
"49",6,2,"Slider",0.106481481481481,108,0.163235294117647,102,-0.0567538126361656,1,1,0
"50",1,3,"",0.38252427184466,103,0.332307692307692,130,0.0502165795369679,3,1,2
"51",6,3,"",0.273888888888889,180,0.375167785234899,149,-0.10127889634601,1,2,1
"52",3,3,"",0.4145,100,0.413076923076923,65,0.00142307692307692,4,3,1
"53",4,3,"",0.344366197183099,71,0.468918918918919,74,-0.12455272173582,2,4,2
"54",2,3,"2-Seam Fastball",0.356624605678233,317,0.282584269662921,89,0.0740403360153121,2,1,1
"55",4,3,"2-Seam Fastball",0.356051121544079,1917,0.368374316939891,732,-0.0123231953958114,1,2,1
"56",1,3,"2-Seam Fastball",0.375100496571293,4229,0.370707070707071,1386,0.00439342586422276,4,3,1
"57",6,3,"2-Seam Fastball",0.373957042544403,9684,0.390342504211117,3562,-0.0163854616667142,3,4,1
"58",5,3,"2-Seam Fastball",0.389285714285714,112,0.445555555555556,45,-0.0562698412698412,5,5,0
"59",4,3,"4-Seam Fastball",0.36634775374376,6010,0.356135401974612,2836,0.0102123517691483,3,1,2
"60",3,3,"4-Seam Fastball",0.359306409130817,6834,0.369520024457352,3271,-0.010213615326536,2,2,0
"61",6,3,"4-Seam Fastball",0.368039533940061,17251,0.375398132894014,7284,-0.00735859895395286,4,3,1
"62",2,3,"4-Seam Fastball",0.373136515912898,2388,0.37919921875,1024,-0.0060627028371022,5,4,1
"63",1,3,"4-Seam Fastball",0.353581725438013,9018,0.379885350318471,3925,-0.0263036248804585,1,5,4
"64",5,3,"4-Seam Fastball",0.384023605150215,4660,0.401586174242424,2112,-0.0175625690922097,6,6,0
"65",1,3,"Changeup",0.301149755676919,3479,0.27702542874039,1691,0.0241243269365283,3,1,2
"66",3,3,"Changeup",0.299735729386892,2838,0.296758922068463,1373,0.00297680731842898,2,2,0
"67",6,3,"Changeup",0.336236345580933,5035,0.306257088846881,2645,0.0299792567340526,6,3,3
"68",4,3,"Changeup",0.310827374872319,1958,0.308176100628931,795,0.0026512742433879,4,4,0
"69",5,3,"Changeup",0.335401750198886,1257,0.3209375,640,0.0144642501988863,5,5,0
"70",2,3,"Changeup",0.29962962962963,1080,0.349506172839506,405,-0.0498765432098766,1,6,5
"71",2,3,"Curveball",0.295695364238411,1359,0.254471544715447,615,0.0412238195229634,4,1,3
"72",4,3,"Curveball",0.230514705882353,136,0.265845070422535,142,-0.0353303645401823,1,2,1
"73",1,3,"Curveball",0.287606447688564,3288,0.294376434583015,1307,-0.00676998689445008,3,3,0
"74",6,3,"Curveball",0.299969567863664,3286,0.300480769230769,1456,-0.000511201367105196,5,4,1
"75",5,3,"Curveball",0.286726546906188,1002,0.31453488372093,602,-0.0278083368147426,2,5,3
"76",3,3,"Curveball",0.320640834575261,671,0.352224824355972,427,-0.0315839897807111,6,6,0
"77",1,3,"Cutter",0.331505060398302,6126,0.323286497601097,2918,0.00821856279720568,2,1,1
"78",3,3,"Cutter",0.31990171990172,407,0.342063492063492,252,-0.0221617721617722,1,2,1
"79",4,3,"Cutter",0.360559495665879,1269,0.350745033112583,604,0.00981446255329588,3,3,0
"80",4,3,"Knuckle Curve",0.283741740088106,3632,0.31056236481615,1387,-0.0268206247280443,1,1,0
"81",2,3,"Sinker",0.376089159067882,987,0.373642172523962,313,0.00244698654392084,3,1,2
"82",1,3,"Sinker",0.38203732503888,1286,0.380594059405941,505,0.00144326563293967,4,2,2
"83",3,3,"Sinker",0.364776303187851,7309,0.388778928136419,3284,-0.0240026249485684,2,3,1
"84",5,3,"Sinker",0.433755760368664,434,0.404166666666667,108,0.0295890937019969,5,4,1
"85",4,3,"Sinker",0.362397540983607,1464,0.421187800963082,623,-0.0587902599794753,1,5,4
"86",1,3,"Slider",0.288588588588589,2331,0.266091954022989,1131,0.0224966345656001,4,1,3
"87",3,3,"Slider",0.276438482886216,5405,0.280790960451977,2655,-0.0043524775657609,1,2,1
"88",6,3,"Slider",0.280979987975608,11643,0.291378968253968,5040,-0.0103989802783606,2,3,1
"89",5,3,"Slider",0.28717424629535,1957,0.3141925777332,997,-0.0270183314378495,3,4,1
"90",4,3,"Slider",0.288930457746479,2272,0.332808398950131,1143,-0.0438779412036524,5,5,0
"91",3,3,"Split Finger",0.255701078582435,649,0.250831024930748,361,0.00487005365168658,2,1,1
"92",5,3,"Split Finger",0.198165137614679,109,0.274242424242424,66,-0.0760772866277453,1,2,1
"93",6,3,"Split Finger",0.282317979197623,673,0.281331168831169,308,0.000986810366453761,3,3,0
"94",2,3,"Split Finger",0.321243523316062,193,0.298039215686275,51,0.0232043076297876,6,4,2
"95",4,3,"Split Finger",0.284190231362468,389,0.30195530726257,179,-0.017765075900102,4,5,1
"96",1,3,"Split Finger",0.2875,544,0.319010416666667,192,-0.0315104166666667,5,6,1
"97",4,4,"2-Seam Fastball",0.202127659574468,47,0.382978723404255,47,-0.180851063829787,1,1,0
"98",1,4,"2-Seam Fastball",0.314285714285714,98,0.393827160493827,81,-0.0795414462081129,2,2,0
"99",6,4,"2-Seam Fastball",0.357679180887372,293,0.444105691056911,246,-0.0864265101695386,3,3,0
"100",2,4,"4-Seam Fastball",0.156338028169014,71,0.3125,76,-0.156161971830986,1,1,0
"101",6,4,"4-Seam Fastball",0.291472868217054,516,0.317542213883677,533,-0.0260693456666231,4,2,2
"102",1,4,"4-Seam Fastball",0.277431906614786,257,0.334963768115942,276,-0.057531861501156,3,3,0
"103",4,4,"4-Seam Fastball",0.25625,160,0.350773195876289,194,-0.0945231958762887,2,4,2
"104",3,4,"4-Seam Fastball",0.305721393034826,201,0.362686567164179,201,-0.0569651741293533,6,5,1
"105",5,4,"4-Seam Fastball",0.304301075268817,186,0.431944444444444,144,-0.127643369175627,5,6,1
"106",5,4,"Changeup",0.229807692307692,52,0.214772727272727,44,0.015034965034965,5,1,4
"107",4,4,"Changeup",0.212280701754386,57,0.293636363636364,55,-0.0813556618819777,3,2,1
"108",3,4,"Changeup",0.172549019607843,102,0.331707317073171,82,-0.159158297465328,1,3,2
"109",6,4,"Changeup",0.182042253521127,142,0.332768361581921,177,-0.150726108060794,2,4,2
"110",1,4,"Changeup",0.214044943820225,89,0.335555555555556,135,-0.121510611735331,4,5,1
"111",6,4,"Curveball",0.181318681318681,91,0.25,121,-0.0686813186813187,1,1,0
"112",5,4,"Curveball",0.230232558139535,43,0.289285714285714,42,-0.0590531561461794,2,2,0
"113",1,4,"Curveball",0.244318181818182,88,0.310648148148148,108,-0.0663299663299664,3,3,0
"114",1,4,"Cutter",0.142477876106195,113,0.323376623376623,231,-0.180898747270429,1,1,0
"115",4,4,"Knuckle Curve",0.202105263157895,95,0.284285714285714,105,-0.0821804511278196,1,1,0
"116",4,4,"Sinker",0.221296296296296,54,0.33,50,-0.108703703703704,2,1,1
"117",2,4,"Sinker",0.161290322580645,31,0.372058823529412,34,-0.210768500948767,1,2,1
"118",3,4,"Sinker",0.261466165413534,266,0.379908675799087,219,-0.118442510385553,3,3,0
"119",1,4,"Sinker",0.277678571428571,56,0.440322580645161,31,-0.16264400921659,4,4,0
"120",4,4,"Slider",0.277450980392157,51,0.147311827956989,93,0.130139152435168,5,1,4
"121",6,4,"Slider",0.195609065155807,353,0.227866666666667,375,-0.0322576015108593,2,2,0
"122",5,4,"Slider",0.266129032258065,62,0.274666666666667,75,-0.00853763440860217,4,3,1
"123",1,4,"Slider",0.153174603174603,63,0.292771084337349,83,-0.139596481162746,1,4,3
"124",3,4,"Slider",0.250578034682081,173,0.295833333333333,192,-0.0452552986512524,3,5,2
"125",1,5,"2-Seam Fastball",0.211702127659574,94,0.211,50,0.000702127659574475,2,1,1
"126",6,5,"2-Seam Fastball",0.151428571428571,280,0.216666666666667,99,-0.0652380952380952,1,2,1
"127",5,5,"4-Seam Fastball",0.208270676691729,133,0.168617021276596,94,0.0396536554151336,6,1,5
"128",6,5,"4-Seam Fastball",0.194092827004219,474,0.205284552845528,246,-0.0111917258413091,4,2,2
"129",4,5,"4-Seam Fastball",0.146111111111111,180,0.237878787878788,99,-0.0917676767676768,1,3,2
"130",1,5,"4-Seam Fastball",0.173512747875354,353,0.238535031847134,157,-0.0650222839717796,2,4,2
"131",2,5,"4-Seam Fastball",0.189893617021277,94,0.246511627906977,43,-0.0566180108857001,3,5,2
"132",3,5,"4-Seam Fastball",0.200993377483444,151,0.266,100,-0.0650066225165563,5,6,1
"133",1,5,"Changeup",0.0657142857142857,35,0.08,35,-0.0142857142857143,1,1,0
"134",3,5,"Changeup",0.10625,32,0.201515151515152,33,-0.0952651515151515,3,2,1
"135",6,5,"Changeup",0.0950980392156863,51,0.260909090909091,55,-0.165811051693405,2,3,1
"136",1,5,"Curveball",0.0354651162790698,86,0.0755555555555556,45,-0.0400904392764858,1,1,0
"137",6,5,"Curveball",0.136725663716814,113,0.137,50,-0.00027433628318585,2,2,0
"138",1,5,"Cutter",0.204676258992806,139,0.156395348837209,86,0.0482809101555965,1,1,0
"139",4,5,"Knuckle Curve",0.0293269230769231,104,0.204838709677419,62,-0.175511786600496,1,1,0
"140",3,5,"Sinker",0.195774647887324,142,0.232051282051282,78,-0.0362766341639581,1,1,0
"141",1,5,"Slider",0.0507042253521127,71,0.153125,48,-0.102420774647887,1,1,0
"142",3,5,"Slider",0.0993243243243243,74,0.182407407407407,54,-0.0830830830830831,4,2,2
"143",4,5,"Slider",0.0580645161290323,62,0.188372093023256,43,-0.130307576894224,2,3,1
"144",6,5,"Slider",0.0885964912280702,285,0.219303797468354,158,-0.130707306240284,3,4,1
